Name,Position,CHAMP,ROY,DPOY,MVP,75AT,Difficulty
Magic Johnson,Guard,YES,NO,NO,YES,YES,1
Steph Curry,Guard,YES,NO,NO,YES,YES,1
Isiah Thomas,Guard,YES,NO,NO,NO,YES,1
Derrick Rose,Guard,NO,YES,NO,YES,NO,1
Russell Westbrook,Guard,NO,NO,NO,YES,YES,3
Oscar Robertson,Guard,YES,YES,NO,YES,YES,2
Derek Fisher,Guard,YES,NO,NO,NO,NO,1
Jerry West,Guard,YES,NO,NO,NO,YES,1
Rajon Rondo,Guard,YES,NO,NO,NO,NO,1
Chris Paul,Guard,NO,YES,NO,NO,YES,1
John Stockton,Guard,NO,NO,NO,NO,YES,2
Gary Payton,Guard,YES,NO,YES,NO,YES,1
Kobe Bryant,Guard,YES,NO,NO,YES,YES,1
Michael Jordan,Guard,YES,YES,YES,YES,YES,2
Allen Iverson,Guard,NO,YES,NO,YES,YES,2
Dwyane Wade,Guard,YES,NO,NO,NO,YES,1
James Harden,Guard,NO,NO,NO,YES,YES,1
Clyde Drexler,Guard,YES,NO,NO,NO,YES,2
Reggie Miller,Guard,NO,NO,NO,NO,YES,2
Ray Allen,Guard,YES,NO,NO,NO,YES,1
Vincent Carter,Guard,NO,YES,NO,NO,NO,2
Klay Thompson,Guard,YES,NO,NO,NO,NO,2
Kyrie Irving,Guard,YES,YES,NO,NO,NO,1
Earl Monroe,Guard,YES,YES,NO,NO,YES,1
Jason Kidd,Guard,YES,YES,NO,NO,YES,1
Talen Horton-Tucker,Guard,YES,NO,NO,NO,NO,3
Nate Archibald,Guard,YES,NO,NO,YES,YES,2
Kentavious Caldwell-Pope,Guard,YES,NO,NO,NO,NO,3
Michael Carter-Williams,Guard,NO,YES,NO,NO,NO,3
Billy Cunningham,Foward,YES,NO,NO,NO,YES,2
Dave DeBusschere,Foward,YES,NO,YES,NO,YES,2
Julius Erving,Foward,YES,NO,NO,YES,YES,2
Lebron James,Foward,YES,YES,NO,YES,YES,1
Larry Bird,Foward,YES,YES,NO,YES,YES,1
Kevin Durant,Foward,YES,YES,NO,YES,YES,1
ELgin Baylor,Foward,YES,YES,NO,NO,YES,1
Scottie Pippen,Foward,YES,NO,NO,NO,YES,2
John Havlicek,Foward,YES,NO,NO,NO,YES,2
Kawhi Leonard,Foward,YES,NO,YES,NO,YES,2
Dominique Wilkins,Foward,NO,NO,NO,NO,YES,3
James Worthy,Foward,YES,NO,NO,NO,YES,1
Carmelo Anthony,Foward,NO,NO,NO,NO,YES,2
Paul Pierce,Foward,YES,NO,NO,NO,YES,1
Tim Duncan,Foward,YES,YES,NO,YES,YES,1
Karl Malone,Foward,NO,NO,NO,YES,YES,2
Kevin Garnett,Foward,YES,NO,YES,YES,YES,2
Dirk Nowitzki,Foward,YES,NO,NO,YES,YES,2
Giannis Antetokounmpo,Foward,YES,NO,YES,YES,YES,3
Metta World Peace,Foward,YES,NO,YES,NO,NO,3
Stanislav Medvedenko,Foward,YES,NO,NO,NO,NO,3
Bob Pettit,Foward,YES,YES,NO,YES,YES,1
Anthony Davis,Foward,YES,NO,NO,NO,YES,2
Kevin McHale,Foward,YES,NO,NO,NO,YES,1
Pau Gasol,Foward,YES,YES,NO,NO,NO,1
Dennis Rodman,Foward,YES,NO,YES,NO,YES,2
Chris Bosh,Foward,YES,NO,NO,NO,NO,1
Draymond Green,Foward,YES,NO,YES,NO,NO,2
Kareem Abdul Jabbar,Center,YES,YES,NO,YES,YES,3
Wilt Chamberlain,Center,YES,YES,NO,YES,YES,2
Patrick Ewing,Center,NO,YES,NO,NO,YES,2
George Mikan,Center,NO,NO,NO,NO,YES,1
Hakeem Olajuwon,Center,YES,NO,YES,YES,YES,2
Shaquille Oneal,Center,YES,YES,NO,YES,YES,2
Robert Parish,Center,YES,NO,NO,NO,YES,2
Bill Russell,Center,YES,NO,NO,YES,YES,1
Nate Thurmond,Center,NO,NO,NO,NO,YES,3
David Robinson,Center,YES,YES,YES,YES,YES,2
Bill Walton,Center,YES,NO,NO,YES,YES,3
Moses Malone,Center,YES,NO,NO,YES,YES,1
Nikola Jokic,Center,YES,NO,NO,YES,NO,1
Dwight Howard,Center,YES,NO,YES,NO,NO,2
Dikembe Mutombo,Center,NO,NO,YES,NO,NO,2
Alonzo Mourning,Center,YES,NO,YES,NO,NO,3
Ben Wallace,Center,YES,NO,YES,NO,NO,1
Mark Eaton,Center,NO,NO,YES,NO,NO,1
Joakim Noah,Center,NO,NO,YES,NO,NO,1
Marc Gasol,Center,YES,NO,YES,NO,NO,1
Tyson Chandler,Center,YES,NO,YES,NO,NO,2
Marcus Camby,Center,NO,NO,YES,NO,NO,1
Jaren Jackson Junior,Center,NO,NO,YES,NO,NO,2